"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Forze Armate (56)";"2008";185
"Forze Armate (56)";"2009";171
"Forze Armate (56)";"2010";151
"Forze Armate (56)";"2011";187
"Forze Armate (56)";"2012";177
"Forze Armate (56)";"2013";165
"Forze Armate (56)";"2014";199
"Forze Armate (56)";"2015";183
"Forze Armate (56)";"2016";172
"Forze Armate (56)";"2017";193
"Forze Armate (56)";"2018";182
"Forze Armate (56)";"2019";171
"Forze Armate (56)";"2020";162
"Forze Armate (56)";"2021";144
"Forze Armate (56)";"2022";157
"Forze Armate (56)";"2023";144
"San Siro (57)";"2003";247
"San Siro (57)";"2004";241
"San Siro (57)";"2005";253
"San Siro (57)";"2006";226
"San Siro (57)";"2007";271
"San Siro (57)";"2008";242
"San Siro (57)";"2009";246
"San Siro (57)";"2010";222
"San Siro (57)";"2011";220
"San Siro (57)";"2012";196
"San Siro (57)";"2013";276
"San Siro (57)";"2014";297
"San Siro (57)";"2015";285
"San Siro (57)";"2016";258
"San Siro (57)";"2017";261
"San Siro (57)";"2018";278
"San Siro (57)";"2019";250
"San Siro (57)";"2020";243
"San Siro (57)";"2021";221
"San Siro (57)";"2022";210
"San Siro (57)";"2023";186
"De Angeli - Monte Rosa (58)";"2003";208
"De Angeli - Monte Rosa (58)";"2004";221
"De Angeli - Monte Rosa (58)";"2005";237
"De Angeli - Monte Rosa (58)";"2006";206
"De Angeli - Monte Rosa (58)";"2007";210
"De Angeli - Monte Rosa (58)";"2008";201
"De Angeli - Monte Rosa (58)";"2009";174
"De Angeli - Monte Rosa (58)";"2010";168
"De Angeli - Monte Rosa (58)";"2011";194
